# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=None
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
212    343   170 0.70   YES    45 0.925   10.0    11.0   False      404   25.1     400
213    262   262 0.71   YES    92 0.675    9.0     9.0   False      453  -18.3     485
214    428   183 0.87   YES     8 1.000    5.0    12.7   False      525  -51.8     595
215    299    43 0.67   YES   122 0.750   11.0     8.9   False      432   19.0     405
216    332   290 1.23   YES   217 0.425   15.0    10.5   False      667  -71.1     659
217    289   357 1.11   YES    92 0.800   12.0     9.4   False      401   41.0     389
218    414   230 0.62    no     0     -    0.0    39.0   False      454   34.5     394
219    300   227 0.86   YES   162 0.625   16.0     9.1   False      564  -75.8     675
220    327    35 0.90   YES   242 0.475   18.0     9.9   False      576  -73.2     666
221    325   354 0.60   YES    71 0.850    8.0    10.5   False      484  -10.3     458
222    276   209 0.63   YES    79 0.800    5.0     7.7   False      466  -23.5     502
223    318    11 0.85   YES    62 0.750    7.0     9.1   False      649  -56.3     610
224    412   111 0.79    no     0     -    0.0    51.0   False      379   90.8     362
225    271    86 0.80   YES   111 0.700   14.0     7.8   False      619  -20.5     492
226    310    68 0.86   YES    25 0.875    4.0    10.2   False      425   78.4     368
227    354   280 0.84   YES    59 0.825    5.0     9.9   False      572  -54.4     604
228    279   220 1.26   YES   199 0.175    9.0     8.6   False      613  -77.5     680
229    284    84 0.82   YES    49 0.975    7.0     9.9   False      452   94.0     361
230    389   347 0.67   YES    15 1.000    9.0    12.2   False      513   28.7     398
231    360   254 0.71   YES    74 0.775    4.0    10.4   False      522  -76.6     677
232    274   235 0.90   YES    93 0.675    8.0     9.2   False      616  -24.1     504
233    259   276 1.24   YES   601 0.100  109.0     7.7   False      506  -93.7     734
234    331   128 1.07   YES   168 0.700   44.0    10.6   False      642  -80.2     689
235    327   108 1.26   YES   150 0.800   26.0    10.0   False      603    0.5     424
236    279   283 1.08   YES   173 0.500   10.0     8.3   False      623  -69.0     652
237    304   113 0.68   YES    57 0.875    9.0    10.3   False      414   65.2     375
238    270    41 1.35   YES   124 0.775   13.0     8.6   False      504   26.0     400
239    302   316 1.14   YES    57 0.925   10.0     9.6   False      369   98.3     359
240    279   245 0.68   YES   151 0.625   28.0     8.8   False      605  -12.6     466
241    284   213 0.95   YES    70 0.775   12.0     9.9   False      576   30.6     396
242    316    10 0.66   YES    34 0.925    8.0    11.4   False      400   73.6     371
243    371   235 1.06   YES    14 1.000    5.0    11.7   False      574   15.1     408
244    295   116 1.32   YES   231 0.750   25.0     9.5   False      486  -12.4     465
245    329   257 0.66   YES    54 0.750    4.0    10.0   False      495  -48.1     583
246    344   120 0.68   YES    49 0.850    4.0    10.6   False      483  -31.8     529
247    356   186 0.72   YES    16 1.000    5.0    11.4   False      473   66.4     374
248    285   311 1.08   YES   125 0.525    8.0     9.1   False      520  -45.2     574
249    276   106 0.85   YES    53 0.925    8.0     9.5   False      497  114.5     351
250    259    71 0.86   YES   139 0.600   23.0     8.8   False      466  -51.9     596
251    293   346 0.91   YES   106 0.500    6.0     9.0   False      520  -47.2     580
252    286   312 1.29   YES   534 0.275   72.0     8.5   False      677 -103.2     765
253    358   121 0.85   YES    13 0.975    5.0    12.0   False      563   64.7     375
254    334   140 0.95   YES   139 0.675   37.0    10.3   False      644  -62.5     631
255    322   352 0.63   YES    46 1.000    9.0    10.2   False      385   38.0     391
256    353    12 0.65   YES    73 0.875   14.0    10.9   False      430   37.2     392
257    393   331 1.10   YES    33 1.000   14.0    11.8   False      519  -25.7     509
258    286   305 0.61   YES    80 0.650    6.0     9.1   False      486   -0.6     426
259    336    85 1.24   YES    17 1.000    8.0    11.4   False      372  101.1     357
260    269    24 1.34   YES   453 0.300   71.0     8.6   False      531 -112.7     797
261    295    92 1.01   YES    66 0.850   14.0     9.1   False      480   48.6     385
262    322   221 1.21   YES   192 0.775   17.0     9.4   False      573  -38.0     550
263    327   240 0.81   YES    27 0.900    5.0    11.3   False      411   70.2     372
